"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\apicall.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\apicall.service.ts", "TypeScript", 55, 0, 0, 0, 5, 14, 74
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app-routing.module.ts", "TypeScript", 23, 0, 0, 0, 0, 3, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app.component.html", "HTML", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 36
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app.component.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 13
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\app.module.ts", "TypeScript", 60, 0, 0, 0, 0, 3, 63
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\home\home.component.html", "HTML", 0, 14, 0, 0, 0, 1, 15
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\home\home.component.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\people.component.html", "HTML", 0, 41, 0, 0, 7, 8, 56
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\people.component.scss", "SCSS", 0, 0, 0, 5, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\people.component.ts", "TypeScript", 34, 0, 0, 0, 9, 6, 49
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\person-detail.component.html", "HTML", 0, 40, 0, 0, 0, 2, 42
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\person-detail.component.ts", "TypeScript", 25, 0, 0, 0, 0, 6, 31
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-column-d-chart\people-column-d-chart.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-column-d-chart\people-column-d-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-column-d-chart\people-column-d-chart.component.ts", "TypeScript", 92, 0, 0, 0, 0, 10, 102
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-donut-chart\people-donut-chart.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-donut-chart\people-donut-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-donut-chart\people-donut-chart.component.ts", "TypeScript", 110, 0, 0, 0, 6, 12, 128
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-line-column-chart\people-line-column-chart.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-line-column-chart\people-line-column-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-line-column-chart\people-line-column-chart.component.ts", "TypeScript", 115, 0, 0, 0, 0, 10, 125
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-pie-chart\people-pie-chart.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-pie-chart\people-pie-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-pie-chart\people-pie-chart.component.ts", "TypeScript", 105, 0, 0, 0, 0, 11, 116
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-table\people-table.component.html", "HTML", 0, 29, 0, 0, 0, 0, 29
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-table\people-table.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-table\people-table.component.ts", "TypeScript", 15, 0, 0, 0, 0, 6, 21
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-three-d-pie-chart\people-three-d-pie-chart.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-three-d-pie-chart\people-three-d-pie-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\people-three-d-pie-chart\people-three-d-pie-chart.component.ts", "TypeScript", 93, 0, 0, 0, 0, 8, 101
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\test\test.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\test\test.component.html", "HTML", 0, 2, 0, 0, 0, 2, 4
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\test\test.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\people\shared\test\test.component.ts", "TypeScript", 17, 0, 0, 0, 0, 6, 23
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.html", "HTML", 0, 48, 0, 0, 0, 2, 50
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.ts", "TypeScript", 25, 0, 0, 0, 0, 6, 31
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.css", "CSS", 0, 0, 38, 0, 0, 5, 43
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.html", "HTML", 0, 90, 0, 0, 6, 16, 112
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.ts", "TypeScript", 670, 0, 0, 0, 0, 37, 707
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.html", "HTML", 0, 36, 0, 0, 0, 1, 37
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.ts", "TypeScript", 32, 0, 0, 0, 0, 11, 43
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\people.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 19
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\planets.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\starships.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 18
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\people.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"Total", "-", 1786, 337, 38, 5, 33, 270, 2469